artists;acousticness;danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;valence;popularity;key;mode;count;;;;;;;;
1011 - TEN-ELEVEN;0.74;0.668;252027;0.436;0;0.0923;-7.04;0.0315;128.135;0.316;18;11;1;2;;;;;;;;
10cc;0.210538889;0.5635;291628.2222;0.570777778;0.006783128;0.1488;-10.38794444;0.065133333;120.3842778;0.578277778;40.72222222;7;1;36;;;;;;;;
11.May;0.27;0.929;182373;0.661;1.52E-06;0.0879;-6.794;0.171;114.973;0.708;37;1;0;2;;;;;;;;
112;0.144385116;0.688023256;267593.2326;0.529139535;0.000183337;0.140316279;-7.723255814;0.109376744;115.9638372;0.581186047;49.1627907;0;1;43;;;;;;;;
12 Inches A Slave;0.00152;0.8;270350;0.837;0.911;0.0729;-8.938;0.0611;127.987;0.895;0;10;1;2;;;;;;;;
12 Step Rebels;0.0492;0.564;188373;0.984;0;0.372;-5.439;0.105;130.695;0.55;8;0;1;2;;;;;;;;
12 Stones;0.1190975;0.35925;201327;0.86875;4.10E-06;0.3275;-4.085;0.067375;126.05775;0.42325;54.25;5;1;8;;;;;;;;
13th Floor Elevators;0.06495;0.525;148827.5;0.8355;0.556;0.08435;-6.318;0.0778;150.4695;0.863;29.5;2;0;4;;;;;;;;
1422;0.506;0.682;59520;0.872;0.29;0.187;-5.947;0.0609;117.606;0.794;6;7;1;2;;;;;;;;
16BL;0.153944;0.7494;454772.2;0.6268;0.6836;0.2672;-9.87;0.0405;122.8292;0.34358;6.2;9;0;10;;;;;;;;
1776 Ensemble;0.8915;0.5895;193206.5;0.4025;0;0.4725;-11.3485;0.172;97.4035;0.594;21.5;0;1;2;;;;;;;;
1776 Orchestra;0.08;0.739;113493;0.518;0.865;0.0917;-15.621;0.0979;120.939;0.222;18;11;1;1;;;;;;;;
19 Hz;0.00512;0.803;434027;0.529;0.715;0.446;-10.279;0.0669;129.99;0.8;0;6;0;2;;;;;;;;
1910 Fruitgum Company;0.4185;0.757;140750;0.60525;0.00077785;0.12425;-9.72575;0.044725;128.4975;0.8995;23.75;9;1;8;;;;;;;;
1920Johnny;0.508111111;0.750777778;198440.6667;0.385222222;1.17E-05;0.125966667;-10.36944444;0.184;123.9553333;0.316611111;0.111111111;10;0;9;;;;;;;;
1920s to 1950s Acoustic & Electric;0.980714286;0.577428571;172118.7143;0.16832381;0.781183333;0.149571429;-17.9387619;0.04527619;129.0029524;0.497714286;4.857142857;8;1;21;;;;;;;;
